,title,company,rating,location,salary,summary
69,Cloud Infrastructure Support Engineer,Tuebora,,"Bengaluru, Karnataka",,"Must have 4-5 years' experience as a Cloud Infrastructure management engineer.AWS Configuration of Load Balancers, Security groups, VPC setup, IAM users and…30+ days ago·More...View all Tuebora jobs - Bengaluru jobsSalary Search: Cloud Infrastructure Support Engineer salaries in Bengaluru, Karnataka"
70,Development Operations Engineer,Infor,3.7,"Hyderabad, Telangana",,"DevOps engineer must know how to manage the infrastructure that supports software code in Single-tenant, Multi-tenant or Hybrid cloud environments.2 days ago·More...View all Infor jobs - Hyderabad jobsSalary Search: Development Operations Engineer salaries in Hyderabad, TelanganaSee popular questions & answers about Infor"
71,Cloud Operations Engineer,Ping Identity,,"Bengaluru, Karnataka",,"A top-notch cloud operations engineer should stay current with industry trends.You will deploy and debug cloud stacks, educating teams on new cloud projects,…24 days ago·More...View all Ping Identity jobs - Bengaluru jobsSalary Search: Cloud Operations Engineer salaries in Bengaluru, Karnataka"
72,Cloud Engineer,Standard Chartered,4.1,"Chennai, Tamil Nadu+1 location",,"Awareness and understanding of the wider business, economics of migration and the business benefit of migration to cloud.Support the team where needed.30+ days ago·More...View all Standard Chartered jobs - Chennai jobsSalary Search: Cloud Engineer salaries in Chennai, Tamil NaduSee popular questions & answers about Standard Chartered"
73,Solutions Architecture Engineer 1 (I5),Dell Technologies,4.0,"Hyderabad, Telangana",,"At Dell Technologies, world-class service doesn’t end when a customer purchases our innovative products.For critical matters, we use our systems to provide…11 days ago·More...View all Dell Technologies jobs - Hyderabad jobsSalary Search: Solutions Architecture Engineer 1 (I5) salaries in Hyderabad, TelanganaSee popular questions & answers about Dell Technologies"
74,Associate Cloud Support Engineer,RWS,,"Bengaluru, Karnataka",,"They must be able to work in a professional manner with clients and at all times remain focused on key cloud support goals, primarily standardization of the…18 days ago·More...View all RWS jobs - Bengaluru jobsSalary Search: Associate Cloud Support Engineer salaries in Bengaluru, Karnataka"
75,Associate Cloud Support Engineer,RWS,,"Bengaluru, Karnataka",,"They must be able to work in a professional manner with clients and at all times remain focused on key cloud support goals, primarily standardization of the…18 days ago·More...View all RWS jobs - Bengaluru jobsSalary Search: Associate Cloud Support Engineer salaries in Bengaluru, Karnataka"
76,Continuity Engineer,Deloitte,4.0,"Hyderabad, Telangana",,"Backup and Recovery Administrator, Senior Analyst.Responsible for Server Infrastructure and Hosting Applications backup and recovery.17 days ago·More...View all Deloitte jobs - Hyderabad jobsSalary Search: Continuity Engineer salaries in Hyderabad, TelanganaSee popular questions & answers about Deloitte"
77,Cloud Engineer I- (CE I),1CloudHub,,"Guindy, Chennai, Tamil Nadu",,"Should have knowledge and experience with various cloud storage and file system technologies.Understanding of cloud migration procedures, as well as automation…30 days ago·More...View all 1CloudHub jobs - Guindy, Chennai, Tamil Nadu jobsSalary Search: Cloud Engineer I- (CE I) salaries in Guindy, Chennai, Tamil Nadu"
78,AWS Cloud Engineer,Autodesk,4.1,"Bengaluru, Karnataka",,"Work with the architecture team to design and implement a cloud management solution to potentially span multiple CSP and private clouds.30+ days ago·More...View all Autodesk jobs - Bengaluru jobsSalary Search: AWS Cloud Engineer salaries in Bengaluru, Karnataka"
79,Cloud Automation Engineer,S&P Global,3.9,"Hyderabad, Telangana+1 location",,"The role would involve working with highly skilled cloud architects in taking up challenging internal projects in order to develop and execute complex solutions…30+ days ago·More...View all S&P Global jobs - Hyderabad jobsSalary Search: Cloud Automation Engineer salaries in Hyderabad, TelanganaSee popular questions & answers about S&P Global"
80,Cloud Engineer – Azure,Cloud Kinetics,,"Chennai, Tamil Nadu",,"Guide L1 engineers & work alongside for troubleshooting.Member of 24×7 Cloud Managed Cloud Support Services Team.Experience working on Cloud computing.30+ days ago·More...View all Cloud Kinetics jobs - Chennai jobsSalary Search: Cloud Engineer – Azure salaries in Chennai, Tamil Nadu"
81,DevOps/Cloud Engineer,Pulse Solutions,3.9,"Mumbai, Maharashtra",,"Experience with at least 2 out of the top 3 cloud platforms – Azure, AWS, Rackspace.Responsible for the day-to-day operations of client servers on the cloud.1 day ago·More...View all Pulse Solutions jobs - Mumbai jobsSalary Search: DevOps/Cloud Engineer salaries in Mumbai, Maharashtra"
82,Hardware & Network Engineer,CS Soft Solutions (I) Pvt. Ltd.,,"Mohali, Punjab","₹30,000 a month","Hosting : Shared Hosting cPanel, WHM.Relevant experience in IT industry.24 days ago·More...View all CS Soft Solutions (I) Pvt. Ltd. jobs - Mohali jobsSalary Search: Hardware & Network Engineer salaries in Mohali, Punjab"
